X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Hearing loss: complete; Spinal cord lesion at neck level: treated";"Dementia: mild; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Anemia: moderate";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Cancer: diagnosis and primary therapy; COPD and other chronic respiratory disease: severe";"Anxiety disorders: moderate; Distance vision: severe impairment";"Asthma: controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Distance vision: moderate impairment; Stroke: long-term consequences, moderate";"Musculoskeletal problems, legs: mild; Anxiety disorders: severe";"Anemia: moderate; Motor impairment: moderate";"Distance vision: moderate impairment; Major depressive disorder: moderate episode";"Dementia: mild; Dementia: moderate";"Hearing loss: moderate; Major depressive disorder: moderate episode";"COPD and other chronic respiratory disease: severe; Dementia: mild";"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated"
"Parkinson's disease: moderate; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Asthma: partially controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: mild";"Spinal cord lesion at neck level: treated; Distance vision: moderate impairment";"Acute myocardial infarction: days 3-28; Musculoskeletal problems, legs: mild";"Major depressive disorder: moderate episode; Asthma: partially controlled";"Parkinson's disease: moderate; Dementia: mild";"Anxiety disorders: moderate; Asthma: partially controlled";"Distance vision: severe impairment; Angina pectoris: moderate";"Decompensated cirrhosis of the liver; Asthma: partially controlled";"Spinal cord lesion at neck level: treated; Motor impairment: moderate";"Stroke: long-term consequences, severe plus cognition problems; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, moderate; Distance vision: moderate impairment";"Asthma: partially controlled; COPD and other chronic respiratory disease: severe";"Spinal cord lesion at neck level: treated; COPD and other chronic respiratory disease: mild"
"Dementia: mild; Cancer: diagnosis and primary therapy";"Distance vision: severe impairment; COPD and other chronic respiratory disease: severe";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Acute myocardial infarction: days 3-28; Multiple sclerosis: severe";"Stroke: long-term consequences, moderate; Major depressive disorder: moderate episode";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Spinal cord lesion at neck level: treated";"Hearing loss: complete; Dementia: moderate";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Parkinson's disease: moderate";"Hearing loss: moderate; COPD and other chronic respiratory disease: mild";"Asthma: controlled; Diabetic neuropathy";"Dementia: mild; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Distance vision: severe impairment";"Asthma: controlled; Hearing loss: complete"
"Major depressive disorder: moderate episode; Musculoskeletal problems, legs: mild";"Distance vision: severe impairment; Hearing loss: complete";"Spinal cord lesion at neck level: treated; Hearing loss: moderate";"Dementia: moderate; Distance vision: severe impairment";"Distance vision: severe impairment; Acute myocardial infarction: days 3-28";"Anemia: moderate; Asthma: controlled";"Major depressive disorder: moderate episode; Asthma: controlled";"Anemia: moderate; Hearing loss: complete";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: moderate";"Diabetic neuropathy; Distance vision: moderate impairment";"Major depressive disorder: moderate episode; Diabetic neuropathy";"Parkinson's disease: moderate; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; Motor impairment: moderate";"Hearing loss: complete; Distance vision: severe impairment";"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy"
"Parkinson's disease: moderate; Distance vision: moderate impairment";"Distance vision: severe impairment; Asthma: partially controlled";"Anxiety disorders: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Major depressive disorder: moderate episode; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Spinal cord lesion at neck level: treated; Cancer: diagnosis and primary therapy";"Parkinson's disease: moderate; Anxiety disorders: moderate";"Decompensated cirrhosis of the liver; Dementia: mild";"Major depressive disorder: moderate episode; Anxiety disorders: moderate";"Dementia: mild; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Motor impairment: moderate";"Asthma: partially controlled; Asthma: controlled";"Anxiety disorders: moderate; Distance vision: moderate impairment";"Motor impairment: moderate; Hearing loss: moderate";"Asthma: partially controlled; Distance vision: severe impairment";"Dementia: moderate; Anemia: moderate"
"Parkinson's disease: moderate; Stroke: long-term consequences, moderate";"Stroke: long-term consequences, severe plus cognition problems; Decompensated cirrhosis of the liver";"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Stroke: long-term consequences, moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Motor impairment: moderate; Asthma: partially controlled";"Motor impairment: moderate; Musculoskeletal problems, legs: mild";"Anxiety disorders: severe; Asthma: partially controlled";"Multiple sclerosis: severe; Distance vision: moderate impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: partially controlled";"Cancer: diagnosis and primary therapy; Motor impairment: moderate";"Stroke: long-term consequences, severe plus cognition problems; Hearing loss: moderate";"Acute myocardial infarction: days 3-28; Anxiety disorders: moderate";"Diabetic neuropathy; Hearing loss: complete";"Decompensated cirrhosis of the liver; Stroke: long-term consequences, severe plus cognition problems";"Stroke: long-term consequences, severe plus cognition problems; Major depressive disorder: moderate episode"
"Major depressive disorder: moderate episode; Asthma: partially controlled";"Parkinson's disease: moderate; Musculoskeletal problems, legs: mild";"Distance vision: severe impairment; Musculoskeletal problems, legs: mild";"Decompensated cirrhosis of the liver; Hearing loss: complete";"Stroke: long-term consequences, severe plus cognition problems; Anxiety disorders: severe";"Dementia: moderate; Angina pectoris: moderate";"Anxiety disorders: moderate; Musculoskeletal problems, legs: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: controlled";"Dementia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Stroke: long-term consequences, severe plus cognition problems; Musculoskeletal problems, legs: mild";"Acute myocardial infarction: days 3-28; Angina pectoris: moderate";"Motor impairment: moderate; Dementia: mild";"Decompensated cirrhosis of the liver; Stroke: long-term consequences, moderate";"Musculoskeletal problems, legs: mild; Parkinson's disease: moderate";"Anxiety disorders: moderate; Hearing loss: complete"
"Dementia: moderate; Asthma: partially controlled";"Anxiety disorders: moderate; Distance vision: moderate impairment";"Spinal cord lesion at neck level: treated; Asthma: controlled";"Multiple sclerosis: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Motor impairment: moderate; Diabetic neuropathy";"Parkinson's disease: moderate; Distance vision: severe impairment";"Spinal cord lesion at neck level: treated; Motor impairment: moderate";"Parkinson's disease: moderate; Asthma: controlled";"Stroke: long-term consequences, moderate; Asthma: partially controlled";"Parkinson's disease: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: moderate; Asthma: controlled";"Stroke: long-term consequences, severe plus cognition problems; Distance vision: severe impairment";"Parkinson's disease: moderate; Asthma: partially controlled";"Distance vision: moderate impairment; Anxiety disorders: moderate";"Distance vision: moderate impairment; Asthma: controlled"
"Dementia: moderate; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Dementia: moderate";"Musculoskeletal problems, legs: mild; Asthma: controlled";"Acute myocardial infarction: days 3-28; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Anxiety disorders: severe";"Stroke: long-term consequences, severe plus cognition problems; Cancer: diagnosis and primary therapy";"Multiple sclerosis: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"COPD and other chronic respiratory disease: severe; Major depressive disorder: moderate episode";"Diabetic neuropathy; Musculoskeletal problems, legs: mild";"Dementia: mild; Hearing loss: moderate";"Stroke: long-term consequences, moderate; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: severe; Decompensated cirrhosis of the liver";"Dementia: mild; Angina pectoris: moderate";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Stroke: long-term consequences, severe plus cognition problems; Asthma: partially controlled"
"Stroke: long-term consequences, moderate; Decompensated cirrhosis of the liver";"Acute myocardial infarction: days 3-28; Cancer: diagnosis and primary therapy";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Musculoskeletal problems, legs: mild; Multiple sclerosis: severe";"Diabetic neuropathy; Cancer: diagnosis and primary therapy";"Asthma: controlled; Anxiety disorders: severe";"Anxiety disorders: moderate; Distance vision: severe impairment";"COPD and other chronic respiratory disease: severe; Stroke: long-term consequences, severe plus cognition problems";"Stroke: long-term consequences, moderate; COPD and other chronic respiratory disease: severe";"Anxiety disorders: moderate; Dementia: moderate";"Motor impairment: moderate; Multiple sclerosis: severe";"Hearing loss: moderate; Hearing loss: complete";"Anxiety disorders: moderate; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Acute myocardial infarction: days 3-28";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: severe"
