sex,age_cat,education_cat,country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
Male,30-49,High,Netherlands,A,A,B,B,B,B,A,A,A,A,A,A,A,B,A
Female,18-29,Low,Hungary,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B
Male,30-49,High,USA,B,A,A,B,A,A,A,A,B,A,B,A,A,B,A
Male,50-69,Medium,Italy,B,A,B,B,B,B,B,A,B,B,B,A,B,B,A
Female,18-29,High,USA,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Male,50-69,High,USA,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B
Male,50-69,None,Netherlands,B,B,B,A,B,B,B,B,B,B,A,B,B,A,A
Female,30-49,Medium,Indonesia,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B
Male,30-49,Low,Hungary,B,B,B,A,B,B,B,B,B,A,B,B,A,A,B
Female,18-29,Medium,Peru,B,A,B,A,A,A,B,A,A,A,A,A,B,B,A
Male,>=70,Medium,Hungary,A,B,A,A,B,A,B,A,A,B,A,A,A,B,A
Female,30-49,Medium,Netherlands,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B
Female,30-49,High,USA,B,A,A,B,A,B,B,B,B,A,A,B,B,A,B
Male,50-69,High,Sweden,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B
Male,50-69,High,Sweden,A,A,B,B,A,B,A,A,B,A,A,A,A,B,A
Male,30-49,High,Peru,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Male,18-29,High,USA,B,B,B,A,B,B,B,B,B,A,B,A,B,A,B
Female,30-49,High,Sweden,A,B,A,A,A,A,A,B,A,A,A,A,B,B,A
Female,50-69,High,Italy,A,B,B,B,B,B,B,B,A,B,A,B,B,A,B
Female,50-69,High,Tanzania,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A
Female,50-69,Medium,Italy,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B
Female,18-29,Medium,USA,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B
Male,30-49,Medium,Indonesia,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B
Male,18-29,High,USA,B,B,B,B,B,B,B,A,B,B,A,B,B,A,B
Female,30-49,Medium,USA,A,B,B,A,A,B,A,A,A,B,A,A,B,B,B
Female,50-69,High,Bangladesh,A,B,A,A,A,B,A,B,B,A,A,A,A,A,B
Female,18-29,Medium,Hungary,B,A,B,B,A,A,B,A,B,B,A,A,B,B,B
Female,18-29,Medium,Italy,B,A,B,B,B,A,B,B,B,B,B,B,A,B,B
Female,50-69,None,Hungary,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Female,18-29,High,Netherlands,A,B,B,B,A,B,B,B,B,B,B,A,B,A,B
Female,30-49,High,Tanzania,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A
Male,18-29,Medium,Sweden,A,A,B,A,A,A,B,A,B,A,A,B,B,B,A
Female,50-69,High,Sweden,A,B,B,B,A,A,B,A,B,A,A,A,A,A,A
Female,30-49,High,Sweden,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A
Male,30-49,High,Italy,A,A,A,A,A,A,B,A,A,B,A,A,A,B,B
Female,30-49,High,Netherlands,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B
Female,30-49,High,Sweden,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A
Female,18-29,High,Hungary,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A
Female,50-69,Low,Sweden,A,A,B,A,A,B,A,B,B,B,B,A,A,B,A
Female,30-49,High,Hungary,A,A,B,B,B,A,B,A,A,B,A,A,A,B,A
Female,30-49,High,Indonesia,B,A,B,A,B,A,A,A,A,A,A,A,A,B,B
Male,50-69,High,Netherlands,B,A,A,B,B,B,B,B,B,B,B,A,B,B,A
Female,30-49,High,Hungary,B,B,B,B,B,A,B,B,B,B,B,B,B,A,A
Female,30-49,High,Bangladesh,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A
Female,50-69,Medium,Tanzania,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A
Female,30-49,Low,Netherlands,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A
Male,30-49,High,Tanzania,B,A,B,A,A,A,B,A,A,B,A,A,B,B,B
Female,30-49,High,Tanzania,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A
Male,18-29,Medium,Hungary,A,B,B,B,A,B,B,B,A,B,B,B,A,A,B
Male,50-69,High,Indonesia,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A
Female,18-29,High,Italy,B,B,A,B,A,B,B,B,A,B,B,B,B,A,B
Female,50-69,High,Italy,B,A,A,A,B,A,A,B,A,A,A,A,A,B,A
Male,30-49,High,Netherlands,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
Male,50-69,High,Peru,A,B,A,A,A,A,B,B,A,A,A,B,A,A,B
Female,30-49,Medium,Italy,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B
Male,30-49,High,Netherlands,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B
Male,18-29,High,Netherlands,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B
